"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 18:31:40 BST 2022","Thu Aug 11 18:31:40 BST 2022","33","","Tests.AllureReport.Test3","","Tests.AllureReport.Test3","name","[7] nu=8",""
"passed","Thu Aug 11 18:31:40 BST 2022","Thu Aug 11 18:31:40 BST 2022","30","","Tests.AllureReport.Test3","","Tests.AllureReport.Test3","name","[3] nu=4",""
"passed","Thu Aug 11 18:31:40 BST 2022","Thu Aug 11 18:31:40 BST 2022","8","","Tests.AllureReport.Test3","","Tests.AllureReport.Test3","name","[4] nu=5",""
"passed","Thu Aug 11 18:31:40 BST 2022","Thu Aug 11 18:31:40 BST 2022","13","","Tests.AllureReport.Test3","","Tests.AllureReport.Test3","name","[6] nu=7",""
"passed","Thu Aug 11 18:31:40 BST 2022","Thu Aug 11 18:31:40 BST 2022","35","","Tests.AllureReport.Test3","","Tests.AllureReport.Test3","name","[2] nu=3",""
"passed","Thu Aug 11 18:31:40 BST 2022","Thu Aug 11 18:31:40 BST 2022","13","","Tests.AllureReport.Test3","","Tests.AllureReport.Test3","name","[5] nu=6",""
"passed","Thu Aug 11 18:31:38 BST 2022","Thu Aug 11 18:31:39 BST 2022","365","","Tests.AllureReport.Test3","","Tests.AllureReport.Test3","name","[1] nu=2",""
